temperature,humidity,tvoc,ecodua,rawhdua,rawethanol,pressure,nckosonglima,ncsatu,firealarm
20.962,51.16,13,407,12533,19627,939.767,0.03,0.448,0
20.976,50.92,7,407,12536,19630,939.771,0.03,0.419,0
20.989,50.72,18,401,12529,19622,939.77,0.03,0.366,0
21.003,50.55,18,412,12534,19646,939.773,0.03,0.341,0
21.016,50.38,18,417,12529,19623,939.763,0.02,0.295,0
21.03,50.24,18,413,12532,19626,939.772,0.02,0.274,0
21.043,50.1,12,410,12533,19633,939.776,0.02,0.236,0
21.057,49.93,20,417,12526,19622,939.779,0.02,0.219,0
21.07,49.88,19,400,12528,19620,939.777,0.01,0.187,0
21.084,49.74,2,405,12536,19631,939.781,0.01,0.173,0
21.097,49.67,16,408,12536,19619,939.778,0.01,0.148,0
21.11,49.55,15,404,12537,19631,939.764,0.01,0.136,0
21.124,49.47,18,405,12534,19631,939.772,0.01,0.116,0
21.137,49.44,6,400,12540,19638,939.777,0.01,0.106,0
21.15,49.39,7,407,12540,19638,939.776,0.01,0.09,0
21.164,49.31,12,420,12533,19630,939.784,0.01,0.083,0
21.177,49.21,15,420,12536,19622,939.787,0.01,0.07,0
21.19,49.07,41,448,12515,19596,939.779,0,0.064,0
21.204,49.29,45,453,12516,19609,939.784,0,0.059,0
21.217,49.81,54,462,12510,19599,939.787,0,0.05,0
21.23,50.45,33,448,12517,19610,939.782,0,0.046,0
21.243,51.03,42,439,12519,19608,939.781,0,0.038,0
21.257,51.56,34,437,12512,19606,939.775,0,0.035,0
21.27,52.04,26,441,12527,19617,939.78,0,0.029,0
21.283,52.54,18,422,12525,19619,939.788,0,0.027,0
21.296,52.92,35,438,12526,19615,939.791,0,0.023,0
21.309,53.32,27,424,12522,19618,939.792,0,0.021,0
21.323,53.65,23,419,12528,19619,939.799,0.39,0.788,0
21.336,53.96,33,421,12524,19614,939.801,0.36,0.718,0
21.349,54.25,21,417,12530,19610,939.795,0.28,0.561,0
21.362,54.52,19,418,12529,19626,939.799,0.25,0.501,0
21.375,54.74,14,405,12533,19624,939.784,0.21,0.414,0
21.388,54.95,19,414,12527,19613,939.796,0.19,0.382,0
21.401,55.16,20,408,12532,19621,939.775,0.17,0.332,0
21.414,55.32,8,410,12533,19626,939.782,0.16,0.31,0
21.427,55.53,16,406,12537,19629,939.788,0.14,0.27,0
21.44,55.64,2,400,12536,19635,939.787,0.13,0.251,0
21.453,55.81,15,406,12530,19631,939.789,0.11,0.217,0
21.466,55.9,9,401,12543,19631,939.792,0.1,0.202,0
21.479,56.07,12,402,12534,19624,939.794,0.09,0.187,0
21.492,56.18,13,400,12537,19630,939.798,0.08,0.16,0
21.505,56.24,8,402,12537,19631,939.795,0.07,0.148,0
21.518,56.37,6,400,12540,19632,939.8,0.06,0.127,0
21.531,56.42,11,409,12539,19627,939.803,0.06,0.117,0
21.543,56.5,16,408,12536,19628,939.804,0.05,0.099,0
21.556,56.62,13,401,12540,19626,939.809,0.05,0.092,0
21.569,56.69,11,400,12540,19626,939.809,0.04,0.078,0
21.582,56.91,0,400,12565,19664,939.8,0.04,0.071,0
21.595,56.65,0,400,12565,19673,939.807,0.03,0.06,0
21.607,56.13,0,400,12565,19663,939.806,0.03,0.055,0
21.62,55.44,0,402,12566,19669,939.795,0.02,0.047,0
21.633,54.78,0,408,12565,19672,939.799,0.02,0.043,0
21.646,54.24,10,419,12562,19658,939.802,0.02,0.036,0
21.658,53.68,2,415,12558,19654,939.791,0.02,0.033,0
21.671,53.18,2,404,12560,19659,939.792,0.01,0.028,0
21.684,52.75,0,400,12563,19658,939.798,0.01,0.025,0
21.696,52.37,6,408,12562,19648,939.798,0.01,0.021,0
21.709,52.01,2,413,12567,19661,939.804,0.01,0.02,0
21.722,51.72,10,415,12557,19654,939.802,0.01,0.016,0
21.734,51.45,7,413,12558,19659,939.803,0.01,0.015,0
21.747,51.18,2,413,12565,19665,939.805,0.01,0.014,0
21.76,51.01,9,417,12563,19662,939.8,0.01,0.011,0
21.772,50.78,10,417,12565,19664,939.788,0.01,0.01,0
21.785,50.64,2,401,12564,19650,939.784,0,0.009,0
21.797,50.46,1,407,12563,19659,939.782,0,0.008,0
21.81,50.3,0,400,12565,19658,939.773,0,0.007,0
21.822,50.16,21,425,12561,19649,939.782,0,0.006,0
21.835,50.04,10,426,12559,19649,939.796,0,0.005,0
21.847,49.93,6,420,12566,19662,939.791,0,0.005,0
21.86,49.85,6,417,12562,19653,939.792,0,0.004,0
21.872,49.76,8,420,12565,19660,939.806,0,0.003,0
21.885,49.64,5,417,12564,19655,939.821,0,0.003,0
21.897,49.58,11,411,12563,19651,939.815,0,0.003,0
21.909,49.5,11,421,12563,19647,939.805,0,0.002,0
21.922,49.42,0,414,12571,19657,939.805,0,0.002,0
21.934,49.38,7,418,12565,19653,939.803,0,0.002,0
21.946,49.33,4,406,12565,19659,939.819,0,0.001,0
21.959,49.16,28,442,12547,19629,939.812,0,0.001,0
21.971,49.32,39,455,12541,19629,939.817,0,0.001,0
21.983,49.87,29,440,12544,19631,939.813,0,0.001,0
21.996,50.49,31,445,12545,19632,939.81,0,0.001,0
22.008,51.08,28,453,12548,19631,939.818,0,0.001,0
22.02,51.65,26,440,12549,19633,939.832,0,0.001,0
22.032,52.13,28,433,12543,19638,939.82,0.58,0.614,0
22.044,52.62,23,433,12558,19649,939.815,0.44,0.46,0
22.057,53.02,20,430,12554,19644,939.815,0.29,0.307,0
22.069,53.45,21,438,12550,19642,939.817,0.11,0.115,0
22.081,53.75,16,426,12554,19644,939.817,0.06,0.067,0
22.093,54.05,26,431,12556,19638,939.811,0.02,0.022,0
22.105,54.36,32,437,12552,19637,939.809,0.01,0.012,0
22.117,54.59,29,417,12559,19641,939.813,0,0.004,0
22.13,54.83,21,420,12567,19645,939.81,0,0.002,0
22.142,55.03,20,420,12560,19641,939.794,0,0.001,0
22.154,55.25,20,421,12567,19654,939.791,0,0,0
22.166,55.46,12,415,12565,19639,939.791,0,0,0
22.178,55.61,11,410,12562,19649,939.799,0,0,0
22.19,55.73,11,400,12568,19652,939.805,0,0,0
22.202,55.88,18,417,12567,19656,939.812,0,0,0
22.214,56.02,14,403,12566,19656,939.812,0,0,0
22.226,56.14,17,405,12571,19659,939.821,0,0,0
22.238,56.26,11,401,12564,19660,939.823,0,0,0
22.25,56.32,2,403,12577,19663,939.826,0,0,0
22.262,56.43,2,400,12568,19662,939.815,0,0,0
22.273,56.53,5,404,12570,19659,939.808,0,0,0
22.285,56.63,4,404,12579,19665,939.808,0,0,0
22.297,56.69,6,403,12571,19661,939.81,0,0,0
22.309,56.76,2,400,12577,19663,939.82,0,0,0
22.321,56.99,0,400,12592,19679,939.817,0,0,0
22.333,56.77,0,400,12597,19694,939.815,0,0,0
22.344,55.02,0,401,12597,19689,939.817,0,0,0
22.356,54.41,0,408,12597,19685,939.809,0,0,0
22.368,53.84,1,410,12587,19681,939.803,0,0,0
22.38,53.38,0,402,12598,19689,939.81,0,0,0
22.392,51.95,4,413,12591,19675,939.809,0,0,0
22.403,51.66,0,400,12594,19682,939.81,0,0,0
22.415,51.38,2,409,12594,19693,939.814,0,0,0
22.427,51.19,1,405,12592,19678,939.815,0,0,0
22.438,50.83,12,400,12596,19688,939.806,0,0,0
22.45,50.65,1,401,12598,19680,939.798,0,0,0
22.462,50.49,12,412,12594,19680,939.804,0,0,0
22.473,50.36,1,407,12592,19674,939.806,0,0,0
22.485,50.2,13,409,12596,19677,939.801,0,0,0
22.497,50.09,2,405,12596,19681,939.803,0,0,0
22.508,49.96,15,403,12593,19681,939.806,0,0,0
22.52,49.89,3,402,12600,19679,939.81,2.51,2.349,0
22.531,49.78,12,409,12596,19677,939.807,2.49,2.326,0
22.543,49.71,1,400,12597,19676,939.813,2.38,2.226,0
22.554,49.63,6,401,12594,19673,939.81,2.31,2.158,0
22.566,49.57,0,402,12596,19684,939.803,2.64,1.765,0
22.577,49.52,8,402,12596,19677,939.806,2.55,1.703,0
22.589,49.43,8,405,12595,19676,939.812,2.34,1.563,0
22.6,49.23,34,440,12576,19646,939.813,2.23,1.49,0
22.612,49.5,27,440,12577,19649,939.815,2.01,1.341,0
22.623,50.05,44,444,12574,19638,939.811,1.89,1.267,0
22.634,50.61,27,429,12582,19656,939.812,1.68,1.124,0
22.646,51.18,39,449,12576,19651,939.802,1.58,1.056,0
22.657,51.74,22,422,12588,19664,939.802,1.48,0.99,0
22.669,52.22,22,416,12582,19652,939.813,1.3,0.866,0
22.68,52.7,28,424,12582,19650,939.804,1.21,0.809,0
22.691,53.13,24,418,12591,19660,939.807,1.05,0.702,0
22.703,53.51,29,419,12581,19652,939.8,0.98,0.653,0
22.714,54.1,32,411,12591,19654,939.806,0.78,0.522,0
22.725,54.45,18,400,12593,19669,939.806,0.67,0.448,0
22.736,54.71,20,409,12596,19655,939.809,0.62,0.414,0
22.748,54.87,23,404,12591,19672,939.801,0.53,0.353,0
22.759,55.24,17,400,12596,19669,939.793,0.54,0.285,0
22.77,55.5,19,401,12595,19681,939.795,0.51,0.27,0
22.781,55.66,8,400,12601,19672,939.801,0.5,0.261,0
22.793,55.84,10,400,12602,19683,939.791,0.46,0.24,0
22.804,55.94,17,400,12601,19678,939.791,0.44,0.229,0
22.815,56.1,13,400,12600,19677,939.788,0.39,0.207,0
22.826,56.19,8,400,12601,19677,939.787,0.37,0.196,0
22.837,56.29,4,400,12600,19672,939.795,0.33,0.174,0
22.848,56.39,11,400,12608,19674,939.79,0.31,0.163,0
22.859,56.51,20,400,12608,19669,939.784,0.27,0.144,0
22.87,56.6,7,400,12608,19682,939.778,0.26,0.134,0
22.881,56.71,8,400,12605,19673,939.786,0.22,0.117,0
22.892,56.75,10,400,12610,19673,939.8,0.26,0.115,0
22.904,56.85,10,400,12608,19674,939.79,0.28,0.121,0
22.915,57.07,0,400,12628,19703,939.804,0.29,0.127,0
22.926,56.85,0,400,12631,19709,939.808,0.29,0.127,0
22.937,56.27,0,400,12636,19703,939.811,0.28,0.123,0
22.947,55.58,0,400,12630,19701,939.812,0.28,0.121,0
22.958,54.37,10,400,12629,19698,939.804,0.25,0.108,0
22.969,53.86,10,400,12624,19699,939.807,0.23,0.099,0
22.98,53.35,7,400,12632,19701,939.825,0.21,0.094,0
22.991,52.9,4,400,12629,19697,939.82,0.19,0.084,0
23.002,52.52,4,400,12630,19701,939.815,0.18,0.079,0
23.013,52.15,3,400,12630,19712,939.804,0.24,0.092,0
23.024,51.86,7,400,12628,19698,939.808,0.32,0.114,0
23.035,51.58,2,400,12622,19693,939.807,0.36,0.131,0
23.045,51.37,3,400,12626,19690,939.817,0.42,0.151,0
23.056,51.11,1,400,12626,19698,939.81,0.43,0.156,0
23.067,50.96,2,400,12631,19698,939.802,0.48,0.201,0
23.078,50.77,0,400,12633,19706,939.814,0.51,0.209,0
23.089,50.62,0,400,12630,19711,939.813,0.52,0.216,0
23.099,50.44,0,400,12630,19708,939.807,0.52,0.215,0
23.11,50.31,1,400,12633,19704,939.816,0.5,0.208,0
23.121,50.19,12,400,12629,19689,939.808,0.49,0.203,0
23.131,50.08,5,400,12633,19696,939.813,0.46,0.189,0
23.142,50,0,400,12629,19704,939.79,0.49,0.189,0
23.153,49.85,12,400,12630,19698,939.791,0.5,0.195,0
23.163,49.71,11,400,12637,19710,939.812,0.49,0.192,0
23.174,49.66,14,400,12635,19696,939.8,0.47,0.183,0
23.185,49.6,0,400,12641,19707,939.808,0.46,0.177,0
23.195,49.53,14,400,12630,19703,939.801,0.46,0.18,0
23.206,49.45,1,400,12642,19698,939.805,0.47,0.185,0
23.216,49.31,33,400,12616,19686,939.811,0.48,0.187,0
23.227,49.97,37,400,12613,19678,939.817,0.45,0.176,0
23.238,50.61,51,400,12609,19660,939.821,0.44,0.171,0
23.248,51.19,44,400,12615,19674,939.827,0.49,0.175,0
23.259,51.75,37,400,12622,19674,939.821,0.55,0.182,0
23.269,52.63,40,400,12622,19679,939.825,0.62,0.204,0
23.28,53.07,39,400,12624,19676,939.822,0.62,0.205,0
23.29,53.48,34,400,12624,19685,939.816,0.61,0.201,0
23.3,53.84,19,400,12623,19681,939.821,0.6,0.196,0
23.311,54.17,31,400,12627,19676,939.804,0.58,0.21,0
23.321,54.43,31,400,12632,19698,939.798,0.59,0.214,0
23.332,54.71,12,400,12631,19698,939.807,0.59,0.214,0
23.342,54.92,9,400,12633,19698,939.791,0.6,0.239,0
23.353,55.14,15,400,12632,19697,939.802,0.63,0.25,0
23.363,55.36,18,400,12636,19697,939.8,0.69,0.254,0
23.373,55.55,22,400,12637,19694,939.797,0.82,0.284,0
23.384,55.74,9,400,12639,19705,939.796,0.85,0.294,0
23.394,55.89,18,400,12634,19701,939.789,0.87,0.301,0
23.404,56,2,400,12640,19704,939.803,0.86,0.299,0
23.414,56.17,11,400,12640,19697,939.794,0.85,0.295,0
23.425,56.27,16,400,12640,19699,939.806,0.9,0.295,0
23.435,56.37,5,400,12641,19699,939.799,0.9,0.294,0
23.445,56.48,13,400,12641,19704,939.803,0.87,0.285,0
23.455,56.57,2,400,12637,19695,939.793,0.85,0.278,0
23.466,56.66,2,400,12645,19709,939.783,0.85,0.264,0
23.476,56.77,13,400,12641,19701,939.784,0.9,0.272,0
23.486,56.81,4,400,12646,19710,939.773,1.02,0.302,0
23.496,56.85,6,400,12639,19698,939.767,1.05,0.31,0
23.506,57.1,0,400,12662,19731,939.781,1.11,0.321,0
23.516,56.91,0,400,12663,19717,939.784,1.14,0.327,0
23.526,56.32,0,400,12674,19744,939.781,1.21,0.352,0
23.537,55.64,0,400,12665,19728,939.779,1.23,0.356,0
23.547,54.43,3,400,12664,19723,939.785,1.18,0.344,0
23.557,53.91,10,400,12667,19725,939.773,1.15,0.335,0
23.567,53.4,1,400,12662,19726,939.774,1.08,0.312,0
23.577,52.96,9,400,12661,19719,939.773,1.03,0.299,0
23.587,52.56,17,400,12661,19715,939.786,0.94,0.272,0
23.597,52.25,10,400,12657,19717,939.795,0.89,0.259,0
23.607,51.91,10,400,12664,19721,939.795,0.8,0.231,0
23.617,51.63,7,400,12658,19712,939.806,0.75,0.218,0
23.627,51.38,6,400,12666,19729,939.799,0.66,0.192,0
23.637,51.16,13,400,12662,19718,939.785,0.62,0.18,0
23.646,50.96,11,400,12669,19713,939.79,0.54,0.158,0
23.656,50.8,13,400,12661,19714,939.784,0.51,0.147,0
23.666,50.63,1,400,12665,19722,939.787,0.44,0.128,0
23.676,50.51,2,400,12667,19729,939.789,0.41,0.119,0
23.686,50.4,3,400,12668,19726,939.793,0.35,0.102,0
23.696,50.17,10,400,12668,19728,939.788,0.35,0.098,0
23.706,50.08,6,400,12665,19728,939.785,0.37,0.103,0
23.716,49.88,4,400,12670,19728,939.791,0.36,0.101,0
23.725,49.81,4,400,12672,19729,939.802,0.35,0.099,0
23.735,49.74,9,400,12672,19729,939.794,0.33,0.093,0
23.745,49.67,8,400,12670,19718,939.806,0.32,0.089,0
23.755,49.61,7,400,12669,19721,939.798,0.31,0.085,0
23.764,49.54,11,400,12668,19712,939.784,0.32,0.088,0
23.774,49.35,35,400,12653,19696,939.782,0.35,0.093,0
23.784,49.59,32,400,12648,19691,939.784,0.37,0.099,0
23.793,50.13,39,400,12649,19694,939.781,0.37,0.099,0
23.803,50.75,37,400,12647,19691,939.772,0.36,0.098,0
23.813,51.3,33,400,12649,19701,939.786,0.35,0.096,0
23.822,51.89,32,400,12651,19688,939.781,0.33,0.09,0
23.832,52.39,31,400,12661,19703,939.779,0.32,0.086,0
23.842,52.85,27,400,12659,19704,939.787,0.29,0.079,0
23.851,53.25,31,400,12652,19698,939.787,0.33,0.085,0
23.861,53.66,15,400,12664,19713,939.79,0.36,0.095,0
23.87,53.99,12,400,12660,19701,939.781,0.37,0.097,0
23.88,54.3,16,400,12665,19708,939.782,0.37,0.097,0
23.89,54.58,31,400,12661,19706,939.782,0.36,0.096,0
23.899,54.85,29,400,12664,19705,939.795,0.35,0.091,0
23.909,55.04,17,400,12667,19717,939.786,0.34,0.088,0
23.918,55.25,9,400,12671,19715,939.787,0.35,0.093,0
23.928,55.5,21,400,12667,19707,939.784,0.37,0.099,0
23.937,55.71,7,400,12676,19719,939.795,0.48,0.124,0
23.946,55.83,17,400,12671,19709,939.784,0.51,0.132,0
23.956,55.98,10,400,12669,19717,939.794,0.53,0.137,0
23.965,56.13,18,400,12675,19709,939.79,0.54,0.14,0
23.975,56.23,7,400,12674,19714,939.791,0.54,0.139,0
23.984,56.37,7,400,12673,19715,939.791,0.52,0.134,0
23.993,56.47,13,400,12680,19718,939.803,0.51,0.131,0
24.003,56.57,9,400,12676,19719,939.81,0.56,0.14,0
24.012,56.66,9,400,12674,19714,939.809,0.56,0.142,0
24.021,56.76,6,400,12678,19710,939.808,0.56,0.141,0
24.031,56.83,6,400,12681,19720,939.805,0.55,0.139,0
24.04,56.9,15,400,12681,19721,939.805,0.52,0.131,0
24.049,56.96,4,400,12679,19725,939.813,0.5,0.127,0
24.059,57.2,0,400,12691,19740,939.814,0.51,0.126,0
24.068,56.96,0,400,12697,19750,939.808,0.53,0.13,0
24.077,56.37,0,400,12703,19747,939.816,0.53,0.131,0
24.086,55.13,0,400,12698,19745,939.813,0.52,0.128,0
24.095,54.47,5,400,12699,19752,939.812,0.49,0.121,0
24.105,53.94,2,400,12701,19747,939.804,0.47,0.116,0
24.114,53.43,11,400,12698,19738,939.81,0.43,0.107,0
24.123,53.03,0,400,12700,19743,939.82,0.41,0.102,0
24.132,52.6,0,400,12698,19750,939.825,0.42,0.101,0
24.141,52.25,5,400,12698,19738,939.822,0.44,0.105,0
24.15,51.92,0,400,12698,19749,939.825,0.45,0.108,0
24.159,51.65,5,400,12704,19743,939.825,0.45,0.107,0
24.169,51.26,6,400,12697,19746,939.824,0.47,0.11,0
24.178,51.06,7,400,12702,19744,939.821,0.49,0.116,0
24.187,50.88,12,400,12693,19739,939.827,0.51,0.12,0
24.196,50.74,12,400,12700,19741,939.823,0.51,0.12,0
24.205,50.58,12,400,12698,19740,939.818,0.49,0.117,0
24.214,50.41,15,400,12696,19737,939.803,0.48,0.114,0
24.223,50.31,13,400,12695,19745,939.799,0.45,0.106,0
24.232,50.21,8,400,12705,19748,939.795,0.43,0.102,0
24.241,50.08,10,400,12704,19749,939.805,0.39,0.093,0
24.25,50,15,400,12696,19733,939.801,0.37,0.088,0
24.259,49.86,19,400,12697,19733,939.805,0.42,0.098,0
24.267,49.84,8,400,12703,19744,939.796,0.43,0.1,0
24.276,49.76,17,400,12696,19736,939.796,0.43,0.1,0
24.285,49.7,17,400,12699,19738,939.794,0.43,0.099,0
24.294,49.62,7,400,12709,19746,939.796,0.41,0.095,0
24.303,49.56,5,400,12703,19744,939.801,0.39,0.092,0
24.312,49.41,35,400,12687,19719,939.801,0.36,0.085,0
24.321,49.61,32,400,12682,19717,939.793,0.35,0.081,0
24.329,50.14,50,400,12678,19702,939.803,0.31,0.073,0
24.338,50.76,41,400,12684,19708,939.807,0.3,0.069,0
24.347,51.4,33,400,12679,19712,939.806,0.26,0.062,0
24.356,52.37,31,400,12687,19718,939.809,0.23,0.054,0
24.365,52.86,36,400,12690,19721,939.809,0.2,0.048,0
24.373,53.27,20,400,12690,19734,939.813,0.19,0.044,0
24.382,53.64,22,400,12694,19728,939.82,0.17,0.039,0
24.391,54,22,400,12695,19733,939.815,0.15,0.036,0
24.399,54.34,18,400,12698,19724,939.815,0.13,0.031,0
24.408,54.6,23,400,12695,19725,939.811,0.12,0.029,0
24.417,54.81,30,400,12694,19724,939.82,0.25,0.057,0
24.425,55.06,28,400,12697,19723,939.811,0.28,0.064,0
24.434,55.27,16,400,12705,19735,939.806,0.31,0.071,0
24.443,55.52,6,400,12702,19740,939.822,0.32,0.073,0
24.451,55.67,0,400,12710,19742,939.839,0.32,0.074,0
24.46,55.85,11,400,12703,19733,939.848,0.32,0.073,0
24.468,55.98,23,400,12698,19737,939.843,0.31,0.071,0
24.477,56.15,7,400,12711,19740,939.85,0.38,0.086,0
24.485,56.23,10,400,12702,19733,939.842,0.4,0.09,0
24.494,56.36,6,400,12712,19745,939.848,0.46,0.103,0
24.503,56.46,11,400,12712,19732,939.849,0.5,0.111,0
24.511,56.57,14,400,12706,19735,939.841,0.59,0.129,0
24.52,56.67,11,400,12712,19744,939.843,0.63,0.139,0
24.528,56.75,1,400,12707,19734,939.839,0.68,0.149,0
24.536,56.82,12,400,12707,19745,939.847,0.69,0.151,0
24.545,56.9,19,400,12714,19738,939.85,0.68,0.149,0
24.553,56.97,15,400,12709,19734,939.842,0.71,0.16,0
24.562,57.22,0,400,12725,19762,939.844,0.74,0.167,0
24.57,56.97,0,400,12738,19773,939.846,0.74,0.167,0
24.578,56.35,0,400,12734,19764,939.843,0.84,0.185,0
24.587,55.68,0,400,12732,19772,939.843,0.97,0.211,0
24.595,55,1,400,12731,19763,939.847,1.2,0.26,0
24.604,54.41,7,400,12729,19772,939.846,1.27,0.274,0
24.612,53.86,0,400,12737,19767,939.851,1.33,0.287,0
24.62,53.34,8,400,12726,19762,939.837,1.33,0.287,0
24.628,52.92,0,400,12725,19758,939.826,1.38,0.295,0
24.637,52.55,8,400,12729,19759,939.836,1.43,0.303,0
24.645,52.17,6,400,12728,19756,939.832,1.46,0.307,0
24.653,51.9,6,400,12734,19762,939.831,1.52,0.331,0
24.661,51.64,1,400,12733,19769,939.838,1.53,0.332,0
24.67,51.38,13,400,12729,19755,939.837,1.59,0.341,0
24.678,51.15,7,400,12733,19766,939.825,1.58,0.34,0
24.686,50.98,12,400,12732,19765,939.834,1.53,0.329,0
24.694,50.83,12,400,12735,19761,939.838,1.59,0.336,0
24.702,50.65,7,400,12734,19756,939.83,1.68,0.35,0
24.71,50.49,7,400,12729,19750,939.833,1.71,0.356,0
24.719,50.37,3,400,12734,19758,939.833,1.7,0.354,0
24.727,50.24,20,400,12729,19748,939.83,1.67,0.349,0
24.735,50.13,13,400,12735,19763,939.83,1.58,0.33,0
24.743,50.05,8,400,12730,19763,939.827,1.53,0.319,0
24.751,49.98,14,400,12729,19752,939.834,1.46,0.302,0
24.759,49.9,0,400,12736,19764,939.829,1.43,0.296,0
24.767,49.82,3,400,12737,19765,939.822,1.35,0.28,0
24.775,49.73,11,400,12734,19759,939.827,1.3,0.27,0
24.783,49.67,15,400,12739,19763,939.829,1.28,0.264,0
24.791,49.59,13,400,12731,19758,939.836,1.26,0.259,0
24.799,49.53,10,400,12738,19755,939.838,1.22,0.252,0
24.807,49.37,40,400,12715,19729,939.842,1.14,0.234,0
24.815,49.64,44,400,12710,19727,939.842,1.09,0.225,0
24.823,50.15,36,400,12711,19725,939.839,0.99,0.204,0
24.831,50.81,29,400,12720,19731,939.844,0.94,0.194,0
24.839,51.38,43,400,12714,19731,939.837,0.93,0.189,0
24.847,51.89,33,400,12722,19737,939.852,0.91,0.185,0
24.854,52.44,33,400,12722,19737,939.844,0.86,0.175,0
24.862,52.9,26,400,12721,19739,939.848,0.83,0.168,0
24.87,53.26,30,400,12724,19739,939.84,0.76,0.154,0
24.878,53.68,14,400,12723,19740,939.834,0.72,0.147,0
24.886,54.05,23,400,12723,19741,939.819,0.65,0.132,0
24.894,54.33,17,400,12726,19748,939.827,0.61,0.125,0
24.901,54.6,12,400,12735,19752,939.831,0.59,0.12,0
24.909,54.84,24,400,12727,19748,939.831,0.6,0.121,0
24.917,55.1,13,400,12731,19754,939.84,0.64,0.128,0
